iter	RMSE
0	4.077756283
1	4.073105919
2	4.069459424
3	4.066436338
4	4.063959829
5	4.061967807
6	4.06027959
7	4.058848671
8	4.057747632
9	4.056845036
10	4.056119213
11	4.055466931
12	4.054916597
13	4.054558344
14	4.054033679
15	4.053619215
16	4.053379882
17	4.053119188
18	4.052960253
19	4.052770767
20	4.052578723
21	4.052498544
22	4.052371209
23	4.052262701
24	4.05219691
25	4.052122086
26	4.052059408
27	4.051901687
28	4.051821598
29	4.051750378
30	4.051618471
31	4.051569507
32	4.051504238
33	4.051417547
34	4.051393602
35	4.051331301
36	4.051288699
37	4.051192397
38	4.051116669
39	4.050948463
40	4.05091313
41	4.050840851
42	4.050781248
43	4.050725189
44	4.050685903
45	4.050619859
46	4.050609792
47	4.050486645
48	4.050422132
49	4.050415539
50	4.050407089
51	4.050396145
52	4.050285788
53	4.050231472
54	4.050212048
55	4.050146585
56	4.050103297
57	4.050060614
58	4.050044137
59	4.050007395
60	4.049998071
61	4.049978479
62	4.049968383
63	4.049926152
64	4.049923381
65	4.04988741
66	4.04986108
67	4.049850508
68	4.049803131
69	4.049743608
70	4.049730988
71	4.049682172
72	4.049639907
73	4.049591722
74	4.049549895
75	4.04951115
76	4.04946665
77	4.049425469
78	4.049378063
79	4.049307732
80	4.049294825
81	4.049263494
82	4.049259304
83	4.049219211
84	4.049161611
85	4.049089058
86	4.04906932
87	4.049066314
88	4.049030506
89	4.04902137
90	4.049016442
91	4.049000663
92	4.048941757
93	4.048923877
94	4.048890921
95	4.048827818
96	4.048799414
97	4.048786227
98	4.048741723
99	4.04869257
100	4.048688927
101	4.048671832
102	4.048649645
103	4.048641347
104	4.048629891
105	4.04859036
106	4.048587084
107	4.048566306
108	4.048500284
109	4.048447897
110	4.048432213
111	4.048418852
112	4.048390516
113	4.048377317
114	4.048354057
115	4.048334903
116	4.048315289
117	4.04829885
118	4.04827696
119	4.048220979
120	4.048189782
121	4.048181473
122	4.048169949
123	4.048137646
124	4.048095582
125	4.048074929
126	4.048027195
127	4.048002772
128	4.047958801
129	4.047895212
130	4.047864381
131	4.047805881
132	4.047758117
133	4.047750622
134	4.047742454
135	4.047695878
136	4.047639015
137	4.047610367
138	4.047589991
139	4.047571003
140	4.047546015
141	4.047501556
142	4.047432497
143	4.04738755
144	4.047335335
145	4.047300838
146	4.047260586
147	4.047239853
148	4.04718399
149	4.04716345
150	4.047140926
151	4.047109147
152	4.04708311
153	4.047079279
154	4.047055702
155	4.047031695
156	4.047005641
157	4.046995991
158	4.046925237
159	4.046897712
160	4.046868388
161	4.046829601
162	4.046826
163	4.046785007
164	4.04677675
165	4.046753308
166	4.046744629
167	4.046733465
168	4.046676985
169	4.046673195
170	4.046610136
171	4.046603734
172	4.046599613
173	4.04659026
174	4.046578408
175	4.046552782
176	4.046503889
177	4.046473129
178	4.046436274
179	4.046406216
180	4.046379726
181	4.046325851
182	4.046310958
183	4.046297663
184	4.04629085
185	4.04628541
186	4.046263368
187	4.046226515
188	4.04618937
189	4.046185724
190	4.046154774
191	4.046124827
192	4.046107792
193	4.046055737
194	4.045987296
195	4.045954763
196	4.0459345
197	4.045929623
198	4.045895971
199	4.045857192
