iter	Passed	Remaining
0	266	53042
1	421	41717
2	540	35514
3	634	31093
4	701	27368
5	826	26729
6	951	26227
7	1084	26035
8	1172	24874
9	1249	23744
10	1369	23532
11	1456	22813
12	1544	22216
13	1604	21319
14	1786	22033
15	1952	22458
16	2041	21980
17	2136	21601
18	2275	21675
19	2353	21184
20	2468	21043
21	2529	20468
22	2597	19986
23	2703	19827
24	2879	20155
25	2925	19581
26	3019	19347
27	3081	18929
28	3187	18792
29	3253	18435
30	3353	18282
31	3421	17961
32	3500	17715
33	3642	17785
34	3687	17382
35	3817	17388
36	3877	17083
37	3937	16787
38	4000	16514
39	4142	16569
40	4209	16323
41	4279	16097
42	4379	15990
43	4433	15718
44	4479	15429
45	4525	15151
46	4575	14896
47	4719	14943
48	4772	14707
49	4817	14452
50	4864	14210
51	4944	14074
52	5070	14062
53	5115	13832
54	5162	13611
55	5289	13601
56	5353	13430
57	5419	13269
58	5540	13241
59	5586	13035
60	5633	12836
61	5700	12688
62	5752	12508
63	5797	12320
64	5862	12175
65	5966	12114
66	6038	11986
67	6106	11854
68	6184	11740
69	6231	11573
70	6277	11406
71	6379	11340
72	6425	11178
73	6504	11075
74	6551	10918
75	6662	10869
76	6735	10760
77	6819	10665
78	6887	10549
79	6947	10421
80	7060	10373
81	7135	10267
82	7196	10144
83	7267	10035
84	7333	9922
85	7444	9868
86	7494	9734
87	7536	9591
88	7613	9494
89	7669	9373
90	7726	9254
91	7782	9136
92	7850	9032
93	7964	8980
94	8031	8876
95	8096	8771
96	8187	8694
97	8247	8583
98	8295	8463
99	8365	8365
100	8456	8289
101	8599	8261
102	8669	8164
103	8767	8093
104	8818	7978
105	8868	7864
106	8927	7759
107	8976	7646
108	9028	7537
109	9091	7438
110	9160	7345
111	9239	7259
112	9380	7221
113	9500	7167
114	9607	7100
115	9712	7032
116	9776	6935
117	9866	6856
118	9928	6758
119	9996	6664
120	10097	6592
121	10154	6492
122	10207	6390
123	10266	6292
124	10313	6187
125	10368	6089
126	10446	6004
127	10492	5902
128	10554	5809
129	10600	5708
130	10702	5637
131	10858	5593
132	10934	5508
133	11005	5420
134	11077	5333
135	11198	5269
136	11316	5204
137	11415	5128
138	11486	5041
139	11547	4948
140	11618	4861
141	11731	4791
142	11822	4712
143	11920	4635
144	12035	4565
145	12138	4489
146	12202	4399
147	12276	4313
148	12348	4226
149	12415	4138
150	12482	4050
151	12602	3979
152	12668	3891
153	12742	3806
154	12804	3717
155	12884	3634
156	12931	3541
157	13008	3458
158	13060	3367
159	13106	3276
160	13159	3187
161	13219	3100
162	13322	3024
163	13387	2938
164	13444	2851
165	13507	2766
166	13551	2677
167	13653	2600
168	13709	2514
169	13781	2432
170	13834	2346
171	13895	2262
172	13942	2175
173	13987	2090
174	14048	2006
175	14108	1923
176	14188	1843
177	14270	1763
178	14336	1681
179	14401	1600
180	14457	1517
181	14519	1436
182	14582	1354
183	14675	1276
184	14735	1194
185	14793	1113
186	14884	1034
187	14939	953
188	14986	872
189	15047	791
190	15111	712
191	15185	632
192	15248	553
193	15381	475
194	15431	395
195	15485	316
196	15537	236
197	15580	157
198	15639	78
199	15704	0
